index,sequence,robotz,exposure,blur
0197,3,1403,100,261
0198,0,818,100,285
0198,1,1003,100,208
0198,2,1228,100,278
0198,3,1405,100,257
0199,0,828,100,300
0199,1,1011,100,277
0199,2,1209,100,287
0199,3,1457,100,168
0199,4,1619,100,186
0200,0,822,105,257
0200,1,1046,105,227
0200,2,1206,105,229
0200,3,1408,105,219
0201,0,835,105,246
0201,1,1017,105,248
0201,2,1213,105,215
0201,3,1416,105,240
0202,0,804,105,195
0202,1,1032,105,223
0202,2,1222,105,200
0202,3,1416,105,187
0203,0,845,105,255
0203,1,1025,105,206
0203,2,1217,105,194
0203,3,1402,105,187
0203,4,1628,105,236
0204,0,824,105,212
0204,1,1008,105,256
0204,2,1207,105,289
0205,0,880,105,267
0205,1,1013,105,282
0205,2,1210,105,213
0205,3,1411,105,208
0206,0,853,105,213
0206,1,1031,105,190
0206,2,1221,105,204
0206,3,1412,105,168
0207,0,830,105,227
0207,1,1013,105,268
0207,2,1210,105,305
0208,0,834,105,265
0208,1,1016,105,252
0208,2,1212,105,202
0208,3,1406,105,260
0209,0,843,105,270
0209,1,1023,105,251
0209,2,1216,105,209
0209,3,1411,105,219
0210,0,805,110,244
0210,1,1034,110,243
0210,2,1245,110,149
0210,3,1409,110,221
0210,4,1602,110,197
0211,0,841,110,214
0211,1,1021,110,261
0211,2,1215,110,296
0212,0,845,110,317
0212,1,1025,110,231
0212,2,1217,110,249
0212,3,1402,110,179
0213,0,836,110,287
0213,1,1017,110,320
0213,2,1213,110,253
0213,3,1415,110,195
0214,0,842,110,299
0214,1,1023,110,257
0214,2,1216,110,256
0214,3,1402,110,250
0215,0,831,110,293
0215,1,1013,110,206
0215,2,1210,110,200
0215,3,1402,110,273
0216,0,828,110,281
0216,1,1011,110,245
0216,2,1209,110,156
0216,3,1424,110,244
0216,4,1603,110,176
0217,0,834,110,174
0217,1,1016,110,160
0217,2,1212,110,118
0217,3,1424,110,211
0217,4,1619,110,292
0218,0,839,110,214
0218,1,1020,110,176
0218,2,1214,110,189
0218,3,1411,110,233
0219,0,830,110,260
0219,1,1013,110,182
0219,2,1210,110,221
0219,3,1433,110,216
0220,0,850,115,257
0220,1,1028,115,226
0220,2,1220,115,196
0220,3,1412,115,204
0221,0,835,115,256
0221,1,1017,115,203
0221,2,1213,115,184
0221,3,1411,115,206
0222,0,820,115,267
0222,1,1005,115,215
0222,2,1205,115,269
0222,3,1418,115,210
0223,0,887,115,250
0223,1,1019,115,187
0223,2,1214,115,129
0223,3,1402,115,195
0223,4,1628,115,146
0224,0,840,115,283
0224,1,1021,115,249
0224,2,1215,115,228
0224,3,1405,115,230
0225,0,833,115,262
0225,1,1015,115,256
0225,2,1212,115,250
0225,3,1405,115,223
0226,0,847,115,285
0226,1,1026,115,244
0226,2,1218,115,250
0226,3,1402,115,167
0226,4,1628,115,148
0227,0,835,115,248
0227,1,1017,115,241
0227,2,1212,115,327
0227,3,1419,115,224
0228,0,823,115,263
0228,1,1007,115,251
0228,2,1206,115,177
0228,3,1416,115,219
0228,4,1610,115,209
0229,0,843,115,270
0229,1,1023,115,239
0229,2,1216,115,224
0229,3,1402,115,242
0230,0,831,120,292
0230,1,1014,120,241
0230,2,1210,120,204
0230,3,1419,120,341
0231,0,832,120,250
0231,1,1014,120,311
0231,2,1211,120,340
0232,0,819,120,238
0232,1,1044,120,311
