index,exposure,result
9,14,20069.3
10,14,18897.9
11,14,21041.7
12,14,18575.2
13,14,20176.1
14,14,19723.6
15,14,22745
16,14,26670.9
17,14,29051.3
18,14,26796.9
19,14,30864.1
0,14,5410.79
1,14,7212.31
2,14,7747.89
3,14,8744.36
4,14,9242.63
5,14,8064.8
6,14,6565.67
7,14,8940.28
8,14,9338.42
9,14,8502.78
10,14,10077.2
11,14,8467.63
12,14,11402.2
13,14,24677.5
14,14,8007.65
15,14,7344.58
16,14,18413.3
17,14,14624.9
18,14,12376.3
19,14,10491.1
0,15,4659.2
1,15,3699.29
2,15,4463.23
3,15,5905.99
4,15,5792.66
5,15,7264.4
6,15,4683.57
7,15,6826.68
8,15,6661.24
9,15,9144.41
10,15,6225.05
11,15,5424.39
12,15,10072.7
13,15,12813.4
14,15,11840.9
15,15,17775.8
16,15,52526
17,15,31737.8
18,15,25210.2
19,15,13340.3
0,15,11070.6
1,15,9426.21
2,15,11915.6
3,15,13542.8
4,15,17986.2
5,15,32723.6
6,15,38190.7
7,15,67525.6
8,15,79037
9,15,93803
10,15,109118
11,15,107132
12,15,94719.9
13,15,91545.8
14,15,90021.8
15,15,89966.1
16,15,93528.6
17,15,94557.2
18,15,104699
19,15,82429.1
0,15,7769.21
1,15,5539.68
2,15,10745.9
3,15,8274.09
4,15,9385.25
5,15,10756.6
6,15,12232.1
7,15,14853.3
8,15,17283.2
9,15,19051.9
10,15,19365.4
11,15,24764.2
12,15,26347
13,15,29761.7
14,15,32941.9
15,15,26062
16,15,21419.3
17,15,19174.3
18,15,18368.4
19,15,18030.6
0,15,2379.94
1,15,2500
2,15,2863.6
3,15,4190.38
4,15,4564.23
5,15,6460.31
6,15,7654.89
7,15,8795.52
8,15,9110.4
9,15,8658.35
10,15,8827.24
11,15,10534.9
12,15,10809.3
13,15,11510.2
14,15,18399.8
15,15,20006.4
16,15,21036.5
17,15,22367.5
18,15,25130.3
19,15,25442.5
0,15,9492.84
1,15,17554.9
2,15,15042
3,15,17555
4,15,22715.1
5,15,22884.2
6,15,31408.9
7,15,38837.3
8,15,37235.9
9,15,41383.8
10,15,70637.4
11,15,99929.9
12,15,148810
13,15,162978
14,15,174896
15,15,235468
16,15,185335
17,15,215221
18,15,276892
19,15,239708
0,16,6979.03
1,16,4608.08
2,16,5448.27
3,16,8153.23
4,16,7135.34
5,16,7573.41
6,16,30475.6
7,16,34186.8
8,16,60951.5
9,16,95608
10,16,164369
11,16,163845
12,16,928411
13,16,1.95439e+06
14,16,5.543e+06
15,16,2.95061e+07
16,16,4.04581e+06
17,16,1.66391e+06
18,16,635944
19,16,183698
0,16,6568.62
