sequence,index,robotz,exposure,result
58,4,1001,12,3343
58,5,1027,12,3101
58,6,1052,12,2949
58,7,1073,12,2588
58,8,1093,12,2616
58,9,1110,12,2661
58,10,1125,12,2872
58,11,1138,12,2893
58,12,1148,12,2921
58,13,1156,12,2883
58,14,1162,12,2866
58,15,1165,12,2882
58,16,1167,12,2874
58,17,1167,12,2730
58,18,1167,12,2679
58,19,1167,12,2645
59,0,828,12,12246
59,1,868,12,12893
59,2,905,12,12620
59,3,939,12,12666
59,4,971,12,13377
59,5,1001,12,13899
59,6,1028,12,14910
59,7,1053,12,14812
59,8,1076,12,15434
59,9,1096,12,14990
59,10,1113,12,14254
59,11,1128,12,14664
59,12,1141,12,15472
59,13,1151,12,15619
59,14,1164,12,14904
59,15,1167,12,15431
59,16,1167,12,14976
59,17,1167,12,15621
59,18,1167,12,15389
59,19,1167,12,15299
60,0,820,13,3363
60,1,860,13,2741
60,2,897,13,2276
60,3,932,13,2081
60,4,965,13,2005
60,5,995,13,2016
60,6,1023,13,2073
