index,sequence,robotz,exposure,result
165,3,1412,85,6.55459
28,3,1412,15,7.45121
251,3,1421,130,7.99435
222,1,1001,115,7.99435
227,3,1415,115,7.99435
262,0,880,135,7.98868
50,3,1417,30,7.6865
168,2,1207,85,7.99435
188,1,1010,95,7.99435
65,2,1201,35,7.99435
77,1,1001,40,7.99435
193,0,847,100,7.98868
214,2,1205,110,7.99435
222,3,1410,115,7.99435
66,0,837,35,7.93664
167,2,1202,85,7.99435
143,3,1403,75,7.98868
5,2,1211,5,6.47573
25,2,1215,15,7.91289
92,2,1201,50,7.99435
145,1,1006,75,7.98868
68,3,1416,35,7.99435
17,3,1415,10,7.87652
41,0,815,25,7.87036
23,1,1001,15,7.42626
